State,Destination,Latitude,Longitude,Highlight,Seasonality,Annual_Visitors,Untouched_Score,Cultural_Story,Trend_Info,Image_URL
Manipur,Langthabal Konug,24.7637,93.9023,Ancient Meitei architecture,Oct–Feb,60000,9,"Hidden between forested hills, Langthabal tells stories of the Meitei kingdom’s ancient glory.",Visitor interest spiked post-2019 due to cultural festivals.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Old_fort_Langthabal_Manipur.jpg/640px-Old_fort_Langthabal_Manipur.jpg
Meghalaya,Mawphlang Village,25.4648,91.5922,Sacred groves and Khasi culture,Sept–Mar,85000,8,"A gateway to the Khasi world, Mawphlang's sacred groves protect ancient biodiversity and folklore.",Steady increase in eco-tourism since 2017.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Mawphlang_Sacred_Grove.jpg/640px-Mawphlang_Sacred_Grove.jpg
Karnataka,Bidar,17.9133,77.5301,"Islamic architecture, Bidri handicrafts",Nov–Feb,120000,6,Bidar’s medieval fortresses and metallic crafts whisper of the Bahmani Sultanate's legacy.,Cultural tourism surged due to heritage conservation efforts.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Bidar_Fort_Karnataka.jpg/640px-Bidar_Fort_Karnataka.jpg
Telangana,Nalgonda,17.0583,79.2686,Kakatiya forts and stepwells,Nov–Mar,130000,7,Nalgonda preserves the Kakatiya dynasty’s stone-carved stories beneath serene rural skies.,Gradual domestic tourism growth; still untapped internationally.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Nagarjuna_Sagar_Dam_Temple.jpg/640px-Nagarjuna_Sagar_Dam_Temple.jpg
Uttar Pradesh,Mahoba,25.2926,79.8725,Chandela-era temples and Bundelkhand art,Oct–Feb,75000,8,"A living museum of Chandela architecture, Mahoba beats quietly with folk and warrior pride.",Minimal growth; potential under Bundelkhand tourism circuit.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Siddha_Baba_Mahoba.jpg/640px-Siddha_Baba_Mahoba.jpg
Gujarat,Vadnagar,23.7838,72.6389,Ancient Buddhist monasteries and temples,Nov–Feb,110000,7,"From ancient Buddhist caves to heritage stepwells, Vadnagar is Gujarat’s forgotten historic gem.",Renewed interest after archaeological excavations.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Vadnagar_Shillanyas.jpg/640px-Vadnagar_Shillanyas.jpg
Assam,Sualkuchi,26.1986,91.5782,Silk weaving village on Brahmaputra banks,Nov–Mar,90000,8,Every loom sings in Sualkuchi — Assam’s river-woven textile village.,Tourist curiosity up due to 'Make in India' handloom promotion.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Silk_weaving_Sualkuchi.jpg/640px-Silk_weaving_Sualkuchi.jpg
Bihar,Rajgir,25.0306,85.4215,Spiritual and historic Buddhist site,Oct–Mar,250000,6,"In the footsteps of Buddha, Rajgir’s hot springs and monasteries blend healing with heritage.",Consistent footfall; major pilgrimage center.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Rajgir_Hill.jpg/640px-Rajgir_Hill.jpg
Sikkim,Yuksom,27.3787,88.2543,"First capital of Sikkim, sacred Buddhist trail","Mar–May, Sep–Nov",65000,9,"A spiritual cradle in the Himalayas, Yuksom hums with chants, forests, and peace.",Trekkers and spiritual tourists increasing gradually.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Yuksom_Town.jpg/640px-Yuksom_Town.jpg
Chhattisgarh,Barnawapara,21.4676,82.2532,Wildlife + tribal cultural reserves,Nov–Mar,40000,9,"Where wilderness meets wisdom, Barnawapara's tribes and forests remain largely untouched.",Very low traffic; emerging in tribal circuit programs.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Barnawapara_sanctuary.jpg/640px-Barnawapara_sanctuary.jpg
